hip_number,ra_deg,dec_deg,light_year,vmag
50371,154.2708554,-61.33231977,735.8916479,3.39
26207,83.78449043,9.93416294,1055.016181,3.39
63090,193.9020137,3.39759862,202.3587834,3.39
20894,67.16531219,15.8709468,148.9264504,3.4
74395,228.0716798,-52.09907465,116.1796151,3.41
18724,60.17008591,12.49037571,370.0340522,3.41
112029,340.3653118,10.83139111,208.4398977,3.41
67464,207.3762392,-41.68765971,474.5269287,3.41
102422,311.3219526,61.83679404,46.75175678,3.41
6867,22.0914236,-43.31772906,233.8593974,3.41
102395,311.2398153,-66.20323826,137.494728,3.42
8796,28.27041595,29.57939727,64.08492235,3.42
86974,266.6154955,27.72249917,27.38345233,3.42
78384,240.0305854,-38.39664079,493.1921331,3.42
93805,286.5622914,-4.88233456,125.1439539,3.43
50335,154.1725181,23.4173284,259.5541401,3.43
45080,137.7421054,-58.96693014,418.4852375,3.43
50372,154.2746956,42.91446855,134.3222085,3.45
5364,17.14693197,-10.181928,117.562207,3.46
38827,119.1947573,-52.98240062,386.7141163,3.46
74666,228.8754324,33.31510222,116.678597,3.46
3821,12.27125262,57.8165477,19.40591702,3.46
12706,40.82551897,3.23617162,81.95072901,3.47
67472,207.4041993,-42.47368506,526.6558966,3.47
49583,151.8331395,16.76266572,2130.718954,3.48
81833,250.7239107,38.92246103,111.9890072,3.48
55219,169.6198139,33.09423881,421.1886305,3.49
112623,342.1383214,-51.31670354,129.5707472,3.49
90422,276.7434595,-45.96832919,249.235474,3.49
8102,26.02136441,-15.93955597,11.89043294,3.49
73555,225.486638,40.39063671,218.6452046,3.49
33856,105.4297988,-27.93484165,1216.41791,3.49
35550,110.0307889,21.98233941,58.79170424,3.5
32759,102.4602729,-32.50848752,789.346247,3.5
112724,342.4204674,66.20071089,115.31659,3.5
112748,342.5004181,24.60168486,116.6368515,3.51
98337,299.6891152,19.49209287,273.9495798,3.51
17378,55.81231706,-9.76519868,29.48091879,3.52
48774,149.2156452,-54.5677973,1928.994083,3.52
47508,145.2879912,9.89239902,135.1575456,3.52
93085,284.4324156,-21.10662433,372.1461187,3.52
92420,282.5199746,33.36267788,881.0810811,3.52
